SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,AVG_PTS,AVG_REB,AVG_AST,AVG_MIN
22012,203115,0021200022,"NOV 02, 2012",POR @ OKC,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,0.0,0.0,0.0,1.0
22012,203115,0021200032,"NOV 03, 2012",POR @ HOU,W,15,2,7,0.286,1,3,0.333,0,0,0.0,1,3,4,1,1,1,2,1,5,-6,1,0.0,0.0,0.0,1.0
22012,203115,0021200046,"NOV 05, 2012",POR @ DAL,L,2,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,1,2.5,2.0,0.5,8.0
22012,203115,0021200067,"NOV 08, 2012",POR vs. LAC,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,1.6666666666666667,1.3333333333333333,0.3333333333333333,6.0
22012,203115,0021200088,"NOV 10, 2012",POR vs. SAS,L,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9,1,1.25,1.0,0.25,5.0
22012,203115,0021200102,"NOV 12, 2012",POR vs. ATL,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-2,1,1.0,0.8,0.2,4.6
22012,203115,0021200145,"NOV 18, 2012",POR vs. CHI,W,9,1,4,0.25,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,2,1,1,0.8333333333333334,0.8333333333333334,0.16666666666666666,4.333333333333333
22012,203115,0021200168,"NOV 21, 2012",POR @ PHX,L,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,-4,1,1.0,1.1428571428571428,0.14285714285714285,5.0
22012,203115,0021200182,"NOV 23, 2012",POR vs. MIN,W,6,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,-5,1,1.125,1.25,0.125,5.125
22012,203115,0021200193,"NOV 25, 2012",POR @ BKN,L,9,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,1,1,0,1,0,2,3,1,1.0,1.2222222222222223,0.2222222222222222,5.222222222222222
22012,203115,0021200198,"NOV 26, 2012",POR @ DET,L,21,5,8,0.625,1,2,0.5,1,2,0.5,0,1,1,0,2,0,0,1,12,-3,1,1.1,1.3,0.3,5.6
22012,203115,0021200209,"NOV 28, 2012",POR @ WAS,L,8,1,4,0.25,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-6,1,2.090909090909091,1.2727272727272727,0.2727272727272727,7.0
